experiment_id,stage,target,method,evaluation_window,population_rows,positives,base_rate,pr_auc,precision,recall,f2,alerts,threshold,status,decision
E12,首次紅燈,缺車持續30與60分鐘,LightGBM二元模型,2026-05,,,0.1603,0.2822,0.3535,0.1836,,,,not_adopted,較難且覆蓋低
E12,首次紅燈,滿柱持續30分鐘,LightGBM二元模型,2026-05,,,0.2095,0.3691,0.4737,0.1852,,,,promising_not_final,只在Episode第一張紅燈預測
E12,首次紅燈,滿柱持續30與60分鐘,LightGBM二元模型,2026-05,,,0.0573,0.1569,0.1691,0.2611,,,,not_adopted,精確度不足
E13,存活模型,缺車持續30分鐘,離散存活模型,2026-05,,,0.3827,0.5196,0.5951,0.1849,,,,not_adopted,只比公平二元模型略高
E13,存活模型,缺車持續30分鐘,公平二元模型,2026-05,,,0.3827,0.5121,0.5880,0.1993,,,,not_adopted,Recall反而較高
E13,存活模型,缺車持續30與60分鐘,離散存活模型,2026-05,,,0.1603,0.2918,0.3647,0.1774,,,,not_adopted,提升有限
E13,存活模型,滿柱持續30分鐘,離散存活模型,2026-05,,,0.2097,0.3716,0.4563,0.1705,,,,not_adopted,提升有限
E14,首次紅燈TopK,缺車持續30分鐘,純風險K10,2026-05,,,,,0.5219,0.2525,,4265,,not_adopted,會在低風險時硬湊名額
E14,首次紅燈TopK,缺車持續30分鐘,門檻後K10,2026-05,,,,,0.5967,0.1522,,2249,,not_adopted,Precision上升但仍是首次紅燈模型
E15,共識與歷史篩選,缺車持續30分鐘,雙模型共識K10,2026-05,,,,,0.6088,0.1352,,,,not_adopted,Recall下降
E15,共識與歷史篩選,缺車持續30分鐘,共識加歷史LCB 0.75倍K10,2026-05,,,,,0.6478,0.0920,,,,not_adopted,Precision提高但覆蓋過低
E16,歷史倍率ML,缺車持續30分鐘,固定歷史0.75倍K10,2026-04 gate,,,,,0.6578,0.1105,,,,not_adopted,較穩定的規則基準
E16,歷史倍率ML,缺車持續30分鐘,小型LightGBM第二層,2026-04 gate,,,,,0.6598,0.1108,,,,exploratory,約260筆且缺週末過擬合風險高
E16,歷史倍率ML,缺車持續30分鐘,Logistic第二層,2026-05,,,,,0.6148,0.1312,,,,not_adopted,未勝固定歷史規則
E17,動態模型,當下缺車預測t+30仍缺車,全部紅燈皆警示,2026-05,,,,,0.4200,1.0000,,37535,,baseline,最低限度基準
E17,動態模型,當下缺車預測t+30仍缺車,已缺車至少60分鐘,2026-05,,,,,0.5627,0.2231,,,,baseline,持續時間規則
E17,動態模型,當下缺車預測t+30仍缺車,平衡LightGBM,2026-05,,,,,0.6587,0.2066,,4943,,adopted,動態重評估主模型
E17,動態模型,當下缺車預測t+30仍缺車,嚴格LightGBM,2026-05,,,,,0.7004,0.0755,,1699,,optional_strict,Precision換取低Recall
E18,動態模型bakeoff,當下缺車預測t+30仍缺車,Logistic,2026-05,,,,0.563521,0.5708,0.2880,,,,not_adopted,Recall較高但Precision較低
E18,動態模型bakeoff,當下缺車預測t+30仍缺車,XGBoost,2026-05,,,,0.563013,0.6265,0.1814,,,,not_adopted,未勝LightGBM
E18,動態模型bakeoff,當下缺車預測t+30仍缺車,LightGBM,2026-05,,,,0.574976,0.6587,0.2066,,,,adopted,May PR-AUC與Precision最佳且Recall超過20%
E19,動態存活共識,當下缺車預測t+30仍缺車,平衡LightGBM,2026-04 gate,,,,,0.6218,0.2117,,,,adopted_reference,共識前基準
E19,動態存活共識,當下缺車預測t+30仍缺車,LGBM AND條件式存活,2026-04 gate,,,,,0.6646,0.1098,,,,not_adopted,Recall近乎減半
E19,動態存活共識,當下缺車預測t+30仍缺車,平衡LightGBM,2026-05,,,,,0.6587,0.2066,,,,adopted_reference,共識前基準
E19,動態存活共識,當下缺車預測t+30仍缺車,LGBM AND條件式存活,2026-05,,,,,0.6453,0.0900,,,,not_adopted,Precision與Recall皆不理想
E20,動態Logistic共識,當下缺車預測t+30仍缺車,平衡LightGBM,2026-06 retrospective,27962,11921,0.426329,,0.6584,0.2126,,,,adopted_reference,共識前基準
E20,動態Logistic共識,當下缺車預測t+30仍缺車,pooled Logistic,2026-06 retrospective,27962,11921,0.426329,,0.5477,0.3653,,,,not_adopted,Recall較高但Precision較低
E20,動態Logistic共識,當下缺車預測t+30仍缺車,LGBM AND Logistic,2026-06 retrospective,27962,11921,0.426329,,0.6808,0.1278,,,,not_adopted,改善主要來自超長事件且未通過早期事件檢查
E21,六月凍結最終,當下缺車預測t+30仍缺車,全部紅燈皆警示,2026-06,27962,11921,0.426329,,0.426329,1.0000,,27962,,baseline,六月母體基準率
E21,六月凍結最終,當下缺車預測t+30仍缺車,已缺車至少60分鐘,2026-06,27962,11921,0.426329,,0.564884,0.222381,,4693,,baseline,持續時間規則
E21,六月凍結最終,當下缺車預測t+30仍缺車,平衡LightGBM,2026-06,27962,11921,0.426329,0.5661,0.658353,0.212566,,3849,0.566812,adopted,Demo預設模型
E21,六月凍結最終,當下缺車預測t+30仍缺車,平衡LightGBM加K10,2026-06,27962,11921,0.426329,,0.685813,0.149232,,2594,0.566812,adopted_capacity_mode,有限行動清單
E21,六月凍結最終,當下缺車預測t+30仍缺車,嚴格LightGBM,2026-06,27962,11921,0.426329,,0.685550,0.070044,,1218,0.651777,optional_strict,Precision優先模式
E22,六月公平K10,當下缺車預測t+30仍缺車,持續缺車最久Top10無門檻,2026-06,27962,11921,0.426329,,0.560453,0.195202,,4152,,baseline,相同工作量比較
E22,六月公平K10,當下缺車預測t+30仍缺車,模型風險Top10無門檻,2026-06,27962,11921,0.426329,,0.619942,0.215921,,4152,,adopted_evidence,同工作量多命中247筆
E23,動態滿柱,當下滿柱預測t+30仍滿柱,平衡LightGBM,2026-06,3776,907,0.240201,0.3993,0.4771,0.1720,,327,0.420596,auxiliary,前端輔助模式
E23,動態滿柱,當下滿柱預測t+30仍滿柱,嚴格LightGBM,2026-06,3776,907,0.240201,,0.5679,0.1014,,162,0.481074,optional_strict,不作簡報主張
E24,反事實Demo,命中站點若接受派車,可復原派車情境,六月歷史回放,,,,,,,,,,demo_only,非因果估計且非路線最佳化
